id,area,api_pattern,files,rule_category,receiver_rule,input_rules,output_or_lifetime_rule,invalid_behavior,implementation_status,header_status,smoke_status,valid_path_status,last_batch,last_checked_at,evidence,notes
point3_ipoint_vector_helpers,"SkPoint3|SkIPoint|SkVector","SkPoint3 getters/mutations/dot/cross|SkIPoint getters/mutations","skia/capi/sk_point_3.cpp;skia/capi/sk_point_3.h;skia/capi/sk_i_point.cpp;skia/capi/sk_i_point.h",value-pointer-null-sentinel,"receiver required","vector/point inputs required for dot and cross","Make and scale/cross helpers return caller-owned handles",NULL pointer input returns 0 false true or no-op by documented rule,changed,updated,covered,covered,HK,2026-05-13,"220-phase-2-batch-hk-value-transform-buffer-stroke-trace.md",SkV2/SkV3/SkV4 vector smoke already exists; this batch covers the remaining SkPoint3 and SkIPoint pointer helper family.
rsxform_matrix_m44_transform_helpers,"SkRSXform|SkMatrix|SkM44","RSXform toQuad/toTriStrip plus existing Matrix/M44 transform smoke","skia/capi/sk_rsx_form.cpp;skia/capi/sk_rsx_form.h;skia/capi/sk_matrix.cpp;skia/capi/sk_matrix.h;skia/capi/sk_m_44.cpp;skia/capi/sk_m_44.h",transform-output-array,"receiver required","RSXform output arrays and size pointer required","Make helpers return caller-owned handles",NULL receiver or required output pointer is no-op or false; invalid factories return 0,changed,updated,covered,covered,HP,2026-05-13,"225-phase-2-batch-hp-graphics-value-icc-transform-string-valid-paths.md",RSXform toQuad toQuadWithSize toTriStrip and MakeFromRadians are smoke-covered; Matrix and M44 dedicated smoke cover returned handles and output arrays.
string_data_buffer_ownership,"SkString|SkData|SkDataTable","SkString construction/getters/mutation plus existing data/data table smoke","skia/capi/sk_string.cpp;skia/capi/sk_string.h;skia/capi/sk_data.cpp;skia/capi/sk_data.h;skia/capi/sk_data_table.cpp;skia/capi/sk_data_table.h",buffer-borrowed-pointer,"string receiver required","text/src pointers required except len 0 text overloads; data table already covered","SkString data/c_str returns borrowed storage; constructors return caller-owned pointers",NULL input returns NULL false -1 0 or no-op by documented rule,changed,updated,covered,covered,HP,2026-05-13,"225-phase-2-batch-hp-graphics-value-icc-transform-string-valid-paths.md",String borrowed data and mutation paths are smoke-covered; SkData and SkDataTable dedicated smoke cover buffer ownership and table access.
stroke_rec_path_paint_helpers,SkStrokeRec,"constructors|getters|setStrokeParams|applyToPath|applyToPaint|inflation helpers","skia/capi/sk_stroke_rec.cpp;skia/capi/sk_stroke_rec.h",path-stroke-enum-pointer,"stroke_rec required","paint/path pointers required; cap/join/style enums must be valid; resScale must be positive and finite","static constructors return caller-owned handles",NULL input returns 0 false or no-op; invalid enum returns 0 or no-op,changed,updated,covered,covered,HQ,2026-05-13,"226-phase-2-batch-hq-image-codecs-stroke-trace-cleanup.md",Baseline helper row is covered by HK invalid path smoke plus HL paint/path integration smoke; duplicate row evidence was reconciled.
trace_memory_dump_noop_helpers,SkTraceMemoryDump,"dumpNumericValue|dumpStringValue|setMemoryBacking|setDiscardableMemoryBacking|getters|state dump","skia/capi/sk_trace_memory_dump.cpp;skia/capi/sk_trace_memory_dump.h",callback-dump-borrowed-string,"trace_memory_dump required","dump strings and discardable object required","dump pointer is borrowed/non-owned; delete is no-op",NULL input returns false or 0 for getters and no-op for dump methods,changed,updated,covered,covered,HQ,2026-05-13,"226-phase-2-batch-hq-image-codecs-stroke-trace-cleanup.md",NULL no-op paths and concrete test-only forwarding smoke are both covered; no public factory is needed because C API accepts borrowed dump pointers.
sampling_options_constructor_rules,SkSamplingOptions,"newCopy|newWithFilterAndMipmapModes|newWithFilterMode|new_5|isAniso|Aniso","skia/capi/sk_sampling_options.cpp;skia/capi/sk_sampling_options.h",constructor-enum-pointer,"sampling_options required for copy/isAniso","filter and mipmap enum values must be valid; cubic pointer required","constructors return caller-owned pointers; Aniso returns caller-owned handle",NULL pointer returns NULL or false; invalid enum returns NULL; Aniso preserves Skia clamp behavior,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",P2 todo completed; valid cubic/filter/aniso paths and invalid enum/null paths are smoke-covered.
unpremultiply_static_helpers,SkUnPreMultiply,"GetScaleTable|GetScale|ApplyScale|PMColorToColor","skia/capi/sk_un_pre_multiply.cpp;skia/capi/sk_un_pre_multiply.h",static-table-u8-sentinel,"none","alpha and component must fit U8 range","GetScaleTable returns borrowed static 256-entry table",invalid alpha/component returns 0; PMColor conversion has no pointer input,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",P2 todo completed; smoke covers table availability and invalid U8 sentinel behavior.
string_view_format_mutation_helpers,SkString,"new_7|setStringView|insertStringView|appendStringView|prependStringView|format helpers","skia/capi/sk_string.cpp;skia/capi/sk_string.h",string-view-handle-format-noop,"string receiver required for mutations","string_view handle must be valid; format string required","constructors return caller-owned pointers; string_view data is borrowed by handle table for the call",invalid string_view returns NULL or no-op; NULL format no-op,changed,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",Extends batch HK SkString coverage with explicit static string_view handle validity checks.
stroke_rec_paint_path_valid_integration,SkStrokeRec,"staticWithPaintStyleAndResScale|setStrokeParams|setResScale|applyToPath|applyToPaint|GetInflationRadius","skia/capi/sk_stroke_rec.cpp;skia/capi/sk_stroke_rec.h",paint-path-valid-integration,"stroke_rec required","paint/path pointers required; cap/join/style enum valid; resScale positive finite","static constructor returns caller-owned handle; path/paint inputs are borrowed for the call",invalid input remains 0 false or no-op; valid paint/path integration smoke-covered,verified,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",No new implementation beyond HK was needed; smoke now covers paint/path integration.
trace_memory_dump_concrete_forwarding,SkTraceMemoryDump,"concrete subclass forwarding and invalid string guards","skia/capi/sk_trace_memory_dump.cpp;skia/capi/sk_trace_memory_dump.h",concrete-dump-forwarding,"trace_memory_dump required","dump strings required; discardable object required where applicable","dump pointer is borrowed/non-owned; delete is no-op",valid dump forwards calls; invalid strings no-op; getters return concrete values,verified,updated,covered,covered,HL,2026-05-13,"221-phase-2-batch-hl-sampling-unpremul-string-stroke-trace.md",Test-only concrete dump subclass confirms wrapper forwarding without exposing a C factory.
