area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/gpu,include/gpu/graphite/Recorder.h,RecorderOptions,RecorderOptions,54,no,missing,,real_gap,P2,Phase 16 GPU small-gap batch,implementation_candidate,RecorderOptions(const RecorderOptions&);,Value options wrapper can be added after deciding which fields are stable C ABI surface; keep as missing implementation candidate
include/gpu,include/gpu/graphite/Recorder.h,RecorderOptions,~RecorderOptions,54,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~RecorderOptions();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,~Recorder,66,no,false_positive,Graphite_Recorder_deleteBackendTexture,false_positive,P0,Phase 10,coverage_polish,~Recorder();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,snap,66,no,missing,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,real_gap,P2,Phase 14 callback/provider,design_required,std::unique_ptr<Recording> snap();,"Requires explicit C ABI ownership/lifetime design for callbacks, provider objects, recording transfer, or returned borrowed canvas/image handles; keep as missing until Phase 14 callback/provider batch"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,no,missing,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,real_gap,P2,Phase 14 callback/provider,design_required,ImageProvider* clientImageProvider() { return fClientImageProvider.get(); },"Requires explicit C ABI ownership/lifetime design for callbacks, provider objects, recording transfer, or returned borrowed canvas/image handles; keep as missing until Phase 14 callback/provider batch"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,clientImageProvider,66,no,missing,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,real_gap,P2,Phase 14 callback/provider,design_required,const ImageProvider* clientImageProvider() const { return fClientImageProvider.get(); },"Requires explicit C ABI ownership/lifetime design for callbacks, provider objects, recording transfer, or returned borrowed canvas/image handles; keep as missing until Phase 14 callback/provider batch"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,addFinishInfo,66,no,missing,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,real_gap,P2,Phase 14 callback/provider,design_required,void addFinishInfo(const InsertFinishInfo&);,"Requires explicit C ABI ownership/lifetime design for callbacks, provider objects, recording transfer, or returned borrowed canvas/image handles; keep as missing until Phase 14 callback/provider batch"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,makeDeferredCanvas,66,no,missing,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,real_gap,P2,Phase 14 callback/provider,design_required,"SkCanvas* makeDeferredCanvas(const SkImageInfo&, const TextureInfo&);","Requires explicit C ABI ownership/lifetime design for callbacks, provider objects, recording transfer, or returned borrowed canvas/image handles; keep as missing until Phase 14 callback/provider batch"
include/gpu,include/gpu/graphite/Recorder.h,Recorder,priv,66,no,na,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,na,P3,Phase 12 SVG/SkSG cleanup,tracked,RecorderPriv priv();,Graphite priv() exposes internal control surfaces; keep out of stable C ABI coverage
include/gpu,include/gpu/graphite/Recorder.h,Recorder,priv,66,no,na,Graphite_Recorder_createBackendTexture|Graphite_Recorder_currentBudgetedBytes|Graphite_Recorder_deleteBackendTexture|Graphite_Recorder_dumpMemoryStatistics|Graphite_Recorder_freeGpuResources|Graphite_Recorder_performDeferredCleanup|Graphite_Recorder_updateBackendTexture,na,P3,Phase 12 SVG/SkSG cleanup,tracked,const RecorderPriv priv() const;,Graphite priv() exposes internal control surfaces; keep out of stable C ABI coverage
include/gpu,include/gpu/graphite/Recording.h,Recording,~Recording,25,no,false_positive,GrRecordingContext_abandoned|GrRecordingContext_colorTypeSupportedAsImage|GrRecordingContext_colorTypeSupportedAsSurface|GrRecordingContext_maxRenderTargetSize|GrRecordingContext_maxSurfaceSampleCountForColorType|GrRecordingContext_maxTextureSize|GrRecordingContext_supportsProtectedContent|Reskia_GraphiteContext_InsertRecordingAndSubmit,false_positive,P0,Phase 10,coverage_polish,~Recording();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/Recording.h,Recording,priv,25,no,na,GrRecordingContext_abandoned|GrRecordingContext_colorTypeSupportedAsImage|GrRecordingContext_colorTypeSupportedAsSurface|GrRecordingContext_maxRenderTargetSize|GrRecordingContext_maxSurfaceSampleCountForColorType|GrRecordingContext_maxTextureSize|GrRecordingContext_supportsProtectedContent|Reskia_GraphiteContext_InsertRecordingAndSubmit,na,P3,Phase 12 SVG/SkSG cleanup,tracked,RecordingPriv priv();,Graphite priv() exposes internal control surfaces; keep out of stable C ABI coverage
include/gpu,include/gpu/graphite/TextureInfo.h,TextureInfo,~TextureInfo,20,no,false_positive,Graphite_TextureInfo_delete,false_positive,P0,Phase 10,coverage_polish,~TextureInfo() {},"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/graphite/TextureInfo.h,TextureInfo,getDawnTextureInfo,20,no,na,Graphite_TextureInfo_backend|Graphite_TextureInfo_delete|Graphite_TextureInfo_equals|Graphite_TextureInfo_getMtlTextureInfo|Graphite_TextureInfo_isProtected|Graphite_TextureInfo_isValid|Graphite_TextureInfo_mipmapped|Graphite_TextureInfo_new,na,P3,Phase 12 SVG/SkSG cleanup,tracked,bool getDawnTextureInfo(DawnTextureInfo* info) const;,Graphite Dawn texture info accessor is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/graphite/TextureInfo.h,TextureInfo,getVulkanTextureInfo,20,no,na,Graphite_TextureInfo_backend|Graphite_TextureInfo_delete|Graphite_TextureInfo_equals|Graphite_TextureInfo_getMtlTextureInfo|Graphite_TextureInfo_isProtected|Graphite_TextureInfo_isValid|Graphite_TextureInfo_mipmapped|Graphite_TextureInfo_new,na,P3,Phase 12 SVG/SkSG cleanup,tracked,"bool getVulkanTextureInfo(VulkanTextureInfo* info) const { if (!this->isValid() || fBackend != BackendApi::kVulkan) { return false; } *info = VulkanTextureSpecToTextureInfo(fVkSpec, fSampleCount, fMipmapped); return true; }",Graphite Vulkan texture info accessor is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/graphite/TextureInfo.h,TextureInfo,isCompatible,20,no,missing,Graphite_TextureInfo_backend|Graphite_TextureInfo_delete|Graphite_TextureInfo_equals|Graphite_TextureInfo_getMtlTextureInfo|Graphite_TextureInfo_isProtected|Graphite_TextureInfo_isValid|Graphite_TextureInfo_mipmapped|Graphite_TextureInfo_new,real_gap,P2,Phase 16 GPU small-gap batch,implementation_candidate,bool isCompatible(const TextureInfo& that) const;,Small value query wrapper candidate; not platform-only and does not require callback ownership design
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,YUVABackendTextureInfo,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,YUVABackendTextureInfo() = default;,
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,YUVABackendTextureInfo,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,YUVABackendTextureInfo(const YUVABackendTextureInfo&) = default;,
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,YUVABackendTextureInfo,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"YUVABackendTextureInfo(const Recorder*, const SkYUVAInfo&, SkSpan<const TextureInfo>, Mipmapped);",
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,operator==,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const YUVABackendTextureInfo&) const;,
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,operator!=,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator!=(const YUVABackendTextureInfo& that) const { return !(*this == that); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,planeTextureInfo,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,const TextureInfo& planeTextureInfo(int i) const { SkASSERT(i >= 0); return fPlaneTextureInfos[static_cast<size_t>(i)]; },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,yuvaInfo,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,const SkYUVAInfo& yuvaInfo() const { return fYUVAInfo; },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,yuvColorSpace,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkYUVColorSpace yuvColorSpace() const { return fYUVAInfo.yuvColorSpace(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,mipmapped,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,Mipmapped mipmapped() const { return fMipmapped; },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,numPlanes,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,int numPlanes() const { return fYUVAInfo.numPlanes(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,isValid,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fYUVAInfo.isValid(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextureInfo,toYUVALocations,13,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkYUVAInfo::YUVALocations toYUVALocations() const;,
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,YUVABackendTextures,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,YUVABackendTextures() = default;,
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,YUVABackendTextures,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"YUVABackendTextures(const Recorder*, const SkYUVAInfo&, SkSpan<const BackendTexture>);",
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,planeTextures,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkSpan<const BackendTexture> planeTextures() const { return SkSpan<const BackendTexture>(fPlaneTextures); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,planeTexture,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,BackendTexture planeTexture(int i) const { SkASSERT(i >= 0); return fPlaneTextures[static_cast<size_t>(i)]; },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,yuvaInfo,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,const SkYUVAInfo& yuvaInfo() const { return fYUVAInfo; },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,yuvColorSpace,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkYUVColorSpace yuvColorSpace() const { return fYUVAInfo.yuvColorSpace(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,numPlanes,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,int numPlanes() const { return fYUVAInfo.numPlanes(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,isValid,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fYUVAInfo.isValid(); },
include/gpu,include/gpu/graphite/YUVABackendTextures.h,YUVABackendTextures,toYUVALocations,60,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkYUVAInfo::YUVALocations toYUVALocations() const;,
include/gpu,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,no,missing,,real_gap,P2,Phase 9 GPU,tracked,DawnTextureInfo() = default;,
include/gpu,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,no,missing,,real_gap,P2,Phase 9 GPU,tracked,DawnTextureInfo(const wgpu::Texture& texture);,
include/gpu,include/gpu/graphite/dawn/DawnTypes.h,DawnTextureInfo,DawnTextureInfo,9,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"DawnTextureInfo(uint32_t sampleCount, Mipmapped mipmapped, wgpu::TextureFormat viewFormat, wgpu::TextureUsage usage, wgpu::TextureAspect aspect) : fSampleCount(sampleCount) , fMipmapped(mipmapped) , fFormat(viewFormat) , fUsage(usage) , fAs",
include/gpu,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,no,missing,GrBackendRenderTarget_getMtlTextureInfo|GrBackendTexture_getMtlTextureInfo|Graphite_TextureInfo_getMtlTextureInfo,real_gap,P2,Phase 9 GPU,tracked,MtlTextureInfo() = default;,
include/gpu,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,no,missing,GrBackendRenderTarget_getMtlTextureInfo|GrBackendTexture_getMtlTextureInfo|Graphite_TextureInfo_getMtlTextureInfo,real_gap,P2,Phase 9 GPU,tracked,MtlTextureInfo(CFTypeRef mtlTexture);,
include/gpu,include/gpu/graphite/mtl/MtlGraphiteTypes.h,MtlTextureInfo,MtlTextureInfo,24,no,missing,GrBackendRenderTarget_getMtlTextureInfo|GrBackendTexture_getMtlTextureInfo|Graphite_TextureInfo_getMtlTextureInfo,real_gap,P2,Phase 9 GPU,tracked,"MtlTextureInfo(uint32_t sampleCount, skgpu::Mipmapped mipmapped, MtlPixelFormat format, MtlTextureUsage usage, MtlStorageMode storageMode, bool framebufferOnly) : fSampleCount(sampleCount) , fMipmapped(mipmapped) , fFormat(format) , fUsage(",
include/gpu,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,no,missing,,real_gap,P2,Phase 9 GPU,tracked,VulkanTextureInfo() = default;,
include/gpu,include/gpu/graphite/vk/VulkanGraphiteTypes.h,VulkanTextureInfo,VulkanTextureInfo,9,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"VulkanTextureInfo(uint32_t sampleCount, Mipmapped mipmapped, VkImageCreateFlags flags, VkFormat format, VkImageTiling imageTiling, VkImageUsageFlags imageUsageFlags, VkSharingMode sharingMode, VkImageAspectFlags aspectMask, VulkanYcbcrConve",
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,GrMockTextureInfo,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrMockTextureInfo() : fColorType(GrColorType::kUnknown) , fCompressionType(SkTextureCompressionType::kNone) , fID(0) {}",
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,GrMockTextureInfo,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrMockTextureInfo(GrColorType colorType, SkTextureCompressionType compressionType, int id, skgpu::Protected isProtected = skgpu::Protected::kNo) : fColorType(colorType) , fCompressionType(compressionType) , fID(id) , fProtected(isProtected)",
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,operator==,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const GrMockTextureInfo& that) const { return fColorType == that.fColorType && fCompressionType == that.fCompressionType && fID == that.fID && fProtected == that.fProtected; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,getBackendFormat,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendFormat getBackendFormat() const;,
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,compressionType,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,SkTextureCompressionType compressionType() const { return fCompressionType; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,colorType,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrColorType colorType() const { SkASSERT(fCompressionType == SkTextureCompressionType::kNone); return fColorType; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,id,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,int id() const { return fID; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,getProtected,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,skgpu::Protected getProtected() const { return fProtected; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockTextureInfo,isProtected,10,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isProtected() const { return fProtected == skgpu::Protected::kYes; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,GrMockRenderTargetInfo,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrMockRenderTargetInfo() : fColorType(GrColorType::kUnknown) , fID(0) {}",
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,GrMockRenderTargetInfo,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"GrMockRenderTargetInfo(GrColorType colorType, int id, skgpu::Protected isProtected = skgpu::Protected::kNo) : fColorType(colorType) , fID(id) , fProtected(isProtected) { SkASSERT(fID); }",
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,operator==,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const GrMockRenderTargetInfo& that) const { return fColorType == that.fColorType && fID == that.fID && fProtected == that.fProtected; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,getBackendFormat,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrBackendFormat getBackendFormat() const;,
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,colorType,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrColorType colorType() const { return fColorType; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,getProtected,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,skgpu::Protected getProtected() const { return fProtected; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockRenderTargetInfo,isProtected,58,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isProtected() const { return fProtected == skgpu::Protected::kYes; },
include/gpu,include/gpu/mock/GrMockTypes.h,GrMockOptions,GrMockOptions,104,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrMockOptions() { using Renderability = ConfigOptions::Renderability; fConfigOptions[(int)GrColorType::kRGBA_8888].fRenderability = Renderability::kNonMSAA; fConfigOptions[(int)GrColorType::kRGBA_8888].fTexturable = true; fConfigOptions[(in,
include/gpu,include/gpu/mtl/GrMtlTypes.h,GrMtlTextureInfo,GrMtlTextureInfo,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,GrMtlTextureInfo() {},
include/gpu,include/gpu/mtl/GrMtlTypes.h,GrMtlTextureInfo,operator==,21,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const GrMtlTextureInfo& that) const { return fTexture == that.fTexture; },
include/gpu,include/gpu/mtl/MtlMemoryAllocator.h,MtlAlloc,~MtlAlloc,12,no,false_positive,,false_positive,P0,Phase 10,coverage_polish,~MtlAlloc() override = default;,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newBufferWithLength,17,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual id<MTLBuffer> newBufferWithLength(NSUInteger length, MTLResourceOptions options, sk_sp<MtlAlloc>* allocation) = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/mtl/MtlMemoryAllocator.h,MtlMemoryAllocator,newTextureWithDescriptor,17,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual id<MTLTexture> newTextureWithDescriptor(MTLTextureDescriptor* texDesc, sk_sp<MtlAlloc>* allocation) = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/GrVkTypes.h,GrVkImageInfo,operator==,12,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const GrVkImageInfo& that) const { bool equal = fImage == that.fImage && fAlloc == that.fAlloc && fImageTiling == that.fImageTiling && fImageLayout == that.fImageLayout && fFormat == that.fFormat && fImageUsageFlags == that.,
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,VulkanExtensions,11,no,missing,,real_gap,P2,Phase 9 GPU,tracked,VulkanExtensions() {},
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,init,11,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"void init(VulkanGetProc, VkInstance, VkPhysicalDevice, uint32_t instanceExtensionCount, const char* const* instanceExtensions, uint32_t deviceExtensionCount, const char* const* deviceExtensions);",
include/gpu,include/gpu/vk/VulkanExtensions.h,VulkanExtensions,hasExtension,11,no,missing,,real_gap,P2,Phase 9 GPU,tracked,"bool hasExtension(const char[], uint32_t minVersion) const;",
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateImageMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual VkResult allocateImageMemory(VkImage image, uint32_t allocationPropertyFlags, skgpu::VulkanBackendMemory* memory) = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,allocateBufferMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual VkResult allocateBufferMemory(VkBuffer buffer, BufferUsage usage, uint32_t allocationPropertyFlags, skgpu::VulkanBackendMemory* memory) = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,getAllocInfo,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual void getAllocInfo(const skgpu::VulkanBackendMemory&, skgpu::VulkanAlloc*) const = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,virtual void* mapMemory(const skgpu::VulkanBackendMemory&) { return nullptr; },"Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,mapMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual VkResult mapMemory(const skgpu::VulkanBackendMemory& memory, void** data) { *data = this->mapMemory(memory); return *data ? VK_SUCCESS : VK_ERROR_INITIALIZATION_FAILED; }","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,unmapMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,virtual void unmapMemory(const skgpu::VulkanBackendMemory&) = 0;,"Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMappedMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual void flushMappedMemory(const skgpu::VulkanBackendMemory&, VkDeviceSize, VkDeviceSize) {}","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,flushMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual VkResult flushMemory(const skgpu::VulkanBackendMemory& memory, VkDeviceSize offset, VkDeviceSize size) { this->flushMappedMemory(memory, offset, size); return VK_SUCCESS; }","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMappedMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual void invalidateMappedMemory(const skgpu::VulkanBackendMemory&, VkDeviceSize, VkDeviceSize) {}","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,invalidateMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual VkResult invalidateMemory(const skgpu::VulkanBackendMemory& memory, VkDeviceSize offset, VkDeviceSize size) { this->invalidateMappedMemory(memory, offset, size); return VK_SUCCESS; }","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,freeMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,virtual void freeMemory(const skgpu::VulkanBackendMemory&) = 0;,"Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanMemoryAllocator.h,VulkanMemoryAllocator,totalAllocatedAndUsedMemory,46,no,missing,,real_gap,P2,Phase 14 callback/provider,design_required,"virtual std::pair<uint64_t, uint64_t> totalAllocatedAndUsedMemory() const = 0;","Abstract callback/provider interface requires a dedicated C ABI owner handle, vtable, and lifetime policy before binding"
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanAlloc,operator==,35,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const VulkanAlloc& that) const { return fMemory == that.fMemory && fOffset == that.fOffset && fSize == that.fSize && fFlags == that.fFlags && fUsesSystemHeap == that.fUsesSystemHeap; },
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator==,48,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator==(const VulkanYcbcrConversionInfo& that) const { if (!this->isValid() && !that.isValid()) { return true; } return this->fFormat == that.fFormat && this->fExternalFormat == that.fExternalFormat && this->fYcbcrModel == that.fYcb,
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,operator!=,48,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool operator!=(const VulkanYcbcrConversionInfo& that) const { return !(*this == that); },
include/gpu,include/gpu/vk/VulkanTypes.h,VulkanYcbcrConversionInfo,isValid,48,no,missing,,real_gap,P2,Phase 9 GPU,tracked,bool isValid() const { return fYcbcrModel != VK_SAMPLER_YCBCR_MODEL_CONVERSION_RGB_IDENTITY || fExternalFormat != 0; },
include/sksl,include/sksl/SkSLDebugTrace.h,DebugTrace,writeTrace,10,no,missing,,na,P3,Phase 9 optional,debug_interface,virtual void writeTrace(SkWStream* w) const = 0;,
